asv	sample	count	relab
0025ead91ab648e1549cda1e985db403	617	2031	0.017338819833356098
00282315267b2cd6535b970e94fd47cd	685	30	6.985354041027312e-4
00282315267b2cd6535b970e94fd47cd	686	6130	0.10436707244402826
002acc817ff73ee7d4528bc0e0ab2bf1	419	7	9.153318077803204e-5
0034a075a361cc22c006ba13f16f9fe5	462	102	0.001408528501988511
003a04a175313ff03de41c7e8cd0c96b	462	2	2.761820592134335e-5
0043a261014ae02402ac8833bb59af55	424	4	6.4671549368644e-5
004af060a503c57022cd89c7c63a25ac	380	64	8.852985115918773e-4
004af060a503c57022cd89c7c63a25ac	382	361	0.005521228435091154
004af060a503c57022cd89c7c63a25ac	383	35	0.0010242603377132657
004af060a503c57022cd89c7c63a25ac	390	13	5.259537969818344e-4
004af060a503c57022cd89c7c63a25ac	398	105	0.0024940025177549226
004af060a503c57022cd89c7c63a25ac	454	215	0.002669083325057106
004af060a503c57022cd89c7c63a25ac	462	92	0.0012704374723817942
004af060a503c57022cd89c7c63a25ac	472	104	0.002207458663213975
004af060a503c57022cd89c7c63a25ac	480	33	0.001986396195750316
004af060a503c57022cd89c7c63a25ac	565	47	0.0010599192657240152
004af060a503c57022cd89c7c63a25ac	575	293	0.0032515092329545455
004af060a503c57022cd89c7c63a25ac	588	101	0.0022021629164486307
004af060a503c57022cd89c7c63a25ac	651	619	0.006335138011851519
004af060a503c57022cd89c7c63a25ac	652	416	0.00444316276287823
004af060a503c57022cd89c7c63a25ac	653	94	0.001336499225114811
004af060a503c57022cd89c7c63a25ac	655	572	0.0042378532161749674
004af060a503c57022cd89c7c63a25ac	664	1054	0.010358824165348062
004af060a503c57022cd89c7c63a25ac	686	36	6.129224482846684e-4
00502686ed5342b52fdbef21c5f39d3c	399	6	9.794159416268099e-5
0051213008a5ab7c508edad8a4d074ac	386	14	6.933541999930664e-5
0051213008a5ab7c508edad8a4d074ac	431	183	0.006548577563070317
0051213008a5ab7c508edad8a4d074ac	455	7	5.7837377818539355e-5
0051213008a5ab7c508edad8a4d074ac	456	18	2.805530011377983e-4
0051213008a5ab7c508edad8a4d074ac	457	3	1.9968051118210863e-5
0051213008a5ab7c508edad8a4d074ac	460	7	2.989523854264983e-5
0051213008a5ab7c508edad8a4d074ac	492	105	0.0015231961006179824
0051213008a5ab7c508edad8a4d074ac	496	5	5.955429565134533e-5
0051213008a5ab7c508edad8a4d074ac	510	6	3.607525297771151e-5
0051213008a5ab7c508edad8a4d074ac	511	34	5.730659025787965e-4
0051213008a5ab7c508edad8a4d074ac	516	103	8.586982801023768e-4
0051213008a5ab7c508edad8a4d074ac	533	95	0.0010930093423535368
0051213008a5ab7c508edad8a4d074ac	542	132	0.001145147437732608
0051213008a5ab7c508edad8a4d074ac	575	35	3.8840553977272725e-4
0051213008a5ab7c508edad8a4d074ac	584	17	1.63496124180115e-4
0051213008a5ab7c508edad8a4d074ac	655	24	1.7781202305629232e-4
0051213008a5ab7c508edad8a4d074ac	672	948	0.008970222268482158
0051213008a5ab7c508edad8a4d074ac	673	192	0.0019947637451689314
005f8f2eced0ed3accd8195c3bb6975b	576	6	9.134088417975886e-5
005f8f2eced0ed3accd8195c3bb6975b	651	7	7.164130223418519e-5
006aa50f21d66f927e10ca686558bca7	436	2	2.8428473959517852e-5
006ed7284bda59988c85c814b46559c4	380	511	0.007068555303491396
006ed7284bda59988c85c814b46559c4	381	496	0.023224235613616143
006ed7284bda59988c85c814b46559c4	383	576	0.0168563987006526
006ed7284bda59988c85c814b46559c4	386	128	6.339238399936608e-4
006ed7284bda59988c85c814b46559c4	399	1322	0.021579797913844043
006ed7284bda59988c85c814b46559c4	422	374	0.012442197012542
006ed7284bda59988c85c814b46559c4	424	207	0.003346752679827327
006ed7284bda59988c85c814b46559c4	430	186	0.0041339763963283175
006ed7284bda59988c85c814b46559c4	472	623	0.013223526415214484
006ed7284bda59988c85c814b46559c4	474	2384	0.09438220040381647
006ed7284bda59988c85c814b46559c4	492	40	5.802651811878028e-4
006ed7284bda59988c85c814b46559c4	547	964	0.01889121871876776
006ed7284bda59988c85c814b46559c4	575	61	6.769353693181819e-4
006ed7284bda59988c85c814b46559c4	613	182	0.0025031289111389237
006ed7284bda59988c85c814b46559c4	615	144	0.0017341458127604229
006ed7284bda59988c85c814b46559c4	623	201	0.005343470863462357
006ed7284bda59988c85c814b46559c4	651	12	1.2281366097288888e-4
006ed7284bda59988c85c814b46559c4	654	439	0.005163855364998706
006ed7284bda59988c85c814b46559c4	664	84	8.255609391738494e-4
006ed7284bda59988c85c814b46559c4	677	52	9.92025640047312e-4
0083b66eb1da0e9590c83ac8a9e81e6f	664	19	1.8673402195598974e-4
00974a2f47218e28784473ff33f668e0	382	11	1.6823687752355316e-4
00974a2f47218e28784473ff33f668e0	459	4	4.664831832812427e-5
00974a2f47218e28784473ff33f668e0	653	12	1.7061692235508224e-4
00974a2f47218e28784473ff33f668e0	664	4	3.931242567494521e-5
00974a2f47218e28784473ff33f668e0	686	6	1.0215374138077807e-4
00bf0958c6275f12aa75f11d79029099	380	314	0.004343495822497648
00bf0958c6275f12aa75f11d79029099	382	321	0.004909457971369142
00bf0958c6275f12aa75f11d79029099	383	43	0.0012583769863334406
00bf0958c6275f12aa75f11d79029099	386	61	3.0210432999697894e-4
00bf0958c6275f12aa75f11d79029099	390	303	0.012258769268115062
00bf0958c6275f12aa75f11d79029099	391	196	0.004404494382022472
00bf0958c6275f12aa75f11d79029099	393	103	0.0024628186122136676
00bf0958c6275f12aa75f11d79029099	394	1887	0.0179183561071493
00bf0958c6275f12aa75f11d79029099	397	303	0.0033508802972662126
00bf0958c6275f12aa75f11d79029099	398	78	0.0018526875846179426
00bf0958c6275f12aa75f11d79029099	399	127	0.0020730970764434144
00bf0958c6275f12aa75f11d79029099	405	129	0.002385310922505131
00bf0958c6275f12aa75f11d79029099	406	53	3.3580221882900066e-4
00bf0958c6275f12aa75f11d79029099	418	36	4.892234935993259e-4
00bf0958c6275f12aa75f11d79029099	419	79	0.0010330173259235043
00bf0958c6275f12aa75f11d79029099	422	122	0.004058684586978941
00bf0958c6275f12aa75f11d79029099	424	108	0.001746131832953388
00bf0958c6275f12aa75f11d79029099	426	214	0.0025966146939270765
00bf0958c6275f12aa75f11d79029099	428	263	0.0033796807936467142
00bf0958c6275f12aa75f11d79029099	429	40	0.0013405724244252295
00bf0958c6275f12aa75f11d79029099	430	93	0.0020669881981641588
00bf0958c6275f12aa75f11d79029099	431	77	0.002755412417248166
00bf0958c6275f12aa75f11d79029099	433	66	7.9163268243535e-4
00bf0958c6275f12aa75f11d79029099	434	210	0.00308809905445348
00bf0958c6275f12aa75f11d79029099	435	51	8.386502663947905e-4
00bf0958c6275f12aa75f11d79029099	436	423	0.006012622242438026
00bf0958c6275f12aa75f11d79029099	440	1377	0.008512032440919571
